CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1028220,F,ACME,BEER,Acme,Los Angeles,CA,IRTP at bottom,12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,IRTP at bottom,,30,12,2,T,,
1028230,F,ACME,BEER,Acme,Los Angeles,CA,Contents at top,12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,Contents at top,,35,12,2,T,,
1028240,F,ACME,BEER,Acme,Los Angeles,CA,"Red ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,"Red ""B"" in ""Beer""",,25,12,2,T,,
1028250,F,ACME,BEER,Acme,Los Angeles,CA,"Black ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,"Black ""B"" in ""Beer""",,12,12,2,T,,
1028260,F,ACME,BEER,Acme,Los Angeles,CA,,12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,,,12,12,2,,,
1028270,F,ACME,BEER,Acme,Los Angeles,CA,"""Vernon""",12,2,F,F,ACME,BEER,Acme,Los Angeles,CA,"""Vernon""",,25,12,2,,,
1028280,F,ACME LIGHT DRY,BEER,Acme,Los Angeles,CA,,12,1,F,F,ACME LIGHT DRY,BEER,Acme,Los Angeles,CA,,,15,12,1,,,
1028290,F,ACME THE LIGHT DRY,BEER,Acme,Los Angeles,CA,,12,1,F,F,ACME THE LIGHT DRY,BEER,Acme,Los Angeles,CA,,,15,12,1,,,
1028300,F,ACME GOLD LABEL LIGHT DRY,BEER,Acme,Los Angeles,CA,"""...OUNCES -- ACME..."" at bottom",12,1,F,F,ACME GOLD LABEL LIGHT DRY,BEER,Acme,Los Angeles,CA,"""...OUNCES -- ACME..."" at bottom",,15,12,1,,,
1028310,F,ACME GOLD LABEL LIGHT DRY,BEER,Acme,Los Angeles,CA,"""...OUNCES ACME..."" at bottom",12,1,F,F,ACME GOLD LABEL LIGHT DRY,BEER,Acme,Los Angeles,CA,"""...OUNCES ACME..."" at bottom",,10,12,1,,,
1028320,F,ACME GOLD LABEL PALE DRY,BEER,Acme,Los Angeles,CA,,12,1,F,F,ACME GOLD LABEL PALE DRY,BEER,Acme,Los Angeles,CA,,,25,12,1,,,
1028330,F,ACME,BOCK,Acme,Los Angeles,CA,,12,1,F,F,ACME,BOCK,Acme,Los Angeles,CA,,,600,12,1,,,
1028340,F,ACME GENUINE,BOCK,Acme,Los Angeles,CA,,12,1,F,F,ACME GENUINE,BOCK,Acme,Los Angeles,CA,,,175,12,1,,,
1028350,F,ACME ENGLISHTOWN,ALE,Acme,San Francisco,CA,"2 cities, ""INVIGORATING REFRESHMENT"" at top",12,1,F,F,ACME ENGLISHTOWN,ALE,Acme,San Francisco,CA,"2 cities, ""INVIGORATING REFRESHMENT"" at top",,450,12,1,OT,,
1028360,F,ACME ENGLISHTOWN,ALE,Acme,San Francisco,CA,Contents at top,12,2,F,F,ACME ENGLISHTOWN,ALE,Acme,San Francisco,CA,Contents at top,,450,12,2,T,,
1028370,F,ACME ENGLISHTOWN BRAND,ALE,Acme,San Francisco,CA,,12,2,F,F,ACME ENGLISHTOWN BRAND,ALE,Acme,San Francisco,CA,,,175,12,2,T,,
1028380,F,ACME ENGLISHTOWN BRAND,ALE,Acme,San Francisco,CA,,12,2,F,F,ACME ENGLISHTOWN BRAND,ALE,Acme,San Francisco,CA,,,125,12,2,,,
1028390,F,ACME,BEER,Acme,San Francisco,CA,"2 cities, ""KEGLET"" over silver-gray barrel",12,1,F,F,ACME,BEER,Acme,San Francisco,CA,"2 cities, ""KEGLET"" over silver-gray barrel",,50,12,1,OT,,
1028400,F,ACME,BEER,Acme,San Francisco,CA,"2 cities, ""KEGLET"" over red barrel",12,1,F,F,ACME,BEER,Acme,San Francisco,CA,"2 cities, ""KEGLET"" over red barrel",,50,12,1,OT,,
1029010,F,ACME,BEER,Acme,San Francisco,CA,"""NON-FATTENING REFRESHMENT"" at top",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"""NON-FATTENING REFRESHMENT"" at top",,35,12,2,T,,
1029020,F,ACME,BEER,Acme,San Francisco,CA,"""DIETETICALLY NON-FATTENING"" at top",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"""DIETETICALLY NON-FATTENING"" at top",,35,12,2,T,,
1029030,F,ACME,BEER,Acme,San Francisco,CA,Contents at top,12,2,F,F,ACME,BEER,Acme,San Francisco,CA,Contents at top,,30,12,2,T,,
1029040,F,ACME,BEER,Acme,San Francisco,CA,,12,2,F,F,ACME,BEER,Acme,San Francisco,CA,,,600,12,2,W,,
1029050,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer""",12,2,F,F,ACME,BEER,Acme,San Francisco,CA,"Red ""B"" in ""Beer""",,30,12,2,T,,
